"Statistic Label","Area of Residence","Quarter","UNIT","VALUE"
"Overseas Trips to Ireland","All trips to Ireland","2008Q1","Thousand","1542.2"
"Overseas Trips to Ireland","All trips to Ireland","2008Q2","Thousand","2159.4"
"Overseas Trips to Ireland","All trips to Ireland","2008Q3","Thousand","2472.4"
"Overseas Trips to Ireland","All trips to Ireland","2008Q4","Thousand","1665"
"Overseas Trips to Ireland","All trips to Ireland","2009Q1","Thousand","1402.2"
"Overseas Trips to Ireland","All trips to Ireland","2009Q2","Thousand","1901.9"
"Overseas Trips to Ireland","All trips to Ireland","2009Q3","Thousand","2177.3"
"Overseas Trips to Ireland","All trips to Ireland","2009Q4","Thousand","1446.1"
"Overseas Trips to Ireland","All trips to Ireland","2010Q1","Thousand","1084.8"
"Overseas Trips to Ireland","All trips to Ireland","2010Q2","Thousand","1541.4"
"Overseas Trips to Ireland","All trips to Ireland","2010Q3","Thousand","1996.6"
"Overseas Trips to Ireland","All trips to Ireland","2010Q4","Thousand","1414.3"
"Overseas Trips to Ireland","All trips to Ireland","2011Q1","Thousand","1178.8"
"Overseas Trips to Ireland","All trips to Ireland","2011Q2","Thousand","1805"
"Overseas Trips to Ireland","All trips to Ireland","2011Q3","Thousand","2151.7"
"Overseas Trips to Ireland","All trips to Ireland","2011Q4","Thousand","1369.7"
"Overseas Trips to Ireland","All trips to Ireland","2012Q1","Thousand","1165.1"
"Overseas Trips to Ireland","All trips to Ireland","2012Q2","Thousand","1817.3"
"Overseas Trips to Ireland","All trips to Ireland","2012Q3","Thousand","2096.7"
"Overseas Trips to Ireland","All trips to Ireland","2012Q4","Thousand","1438"
"Overseas Trips to Ireland","All trips to Ireland","2013Q1","Thousand","1251.7"
"Overseas Trips to Ireland","All trips to Ireland","2013Q2","Thousand","1893"
"Overseas Trips to Ireland","All trips to Ireland","2013Q3","Thousand","2261"
"Overseas Trips to Ireland","All trips to Ireland","2013Q4","Thousand","1580.1"
"Overseas Trips to Ireland","All trips to Ireland","2014Q1","Thousand","1342.5"
"Overseas Trips to Ireland","All trips to Ireland","2014Q2","Thousand","2126.6"
"Overseas Trips to Ireland","All trips to Ireland","2014Q3","Thousand","2440.4"
"Overseas Trips to Ireland","All trips to Ireland","2014Q4","Thousand","1694.9"
"Overseas Trips to Ireland","All trips to Ireland","2015Q1","Thousand","1531.3"
"Overseas Trips to Ireland","All trips to Ireland","2015Q2","Thousand","2344.9"
"Overseas Trips to Ireland","All trips to Ireland","2015Q3","Thousand","2770.9"
"Overseas Trips to Ireland","All trips to Ireland","2015Q4","Thousand","1995.9"
"Overseas Trips to Ireland","All trips to Ireland","2016Q1","Thousand","1784.7"
"Overseas Trips to Ireland","All trips to Ireland","2016Q2","Thousand","2598.9"
"Overseas Trips to Ireland","All trips to Ireland","2016Q3","Thousand","3061.5"
"Overseas Trips to Ireland","All trips to Ireland","2016Q4","Thousand","2139.2"
"Overseas Trips to Ireland","All trips to Ireland","2017Q1","Thousand","1796.1"
"Overseas Trips to Ireland","All trips to Ireland","2017Q2","Thousand","2769.4"
"Overseas Trips to Ireland","All trips to Ireland","2017Q3","Thousand","3095.6"
"Overseas Trips to Ireland","All trips to Ireland","2017Q4","Thousand","2270.9"
"Overseas Trips to Ireland","All trips to Ireland","2018Q1","Thousand","1920.7"
"Overseas Trips to Ireland","All trips to Ireland","2018Q2","Thousand","2951.9"
"Overseas Trips to Ireland","All trips to Ireland","2018Q3","Thousand","3330.9"
"Overseas Trips to Ireland","All trips to Ireland","2018Q4","Thousand","2412.8"
"Overseas Trips to Ireland","All trips to Ireland","2019Q1","Thousand","2026.7"
"Overseas Trips to Ireland","All trips to Ireland","2019Q2","Thousand","3021.8"
"Overseas Trips to Ireland","All trips to Ireland","2019Q3","Thousand","3334.4"
"Overseas Trips to Ireland","All trips to Ireland","2019Q4","Thousand","2424.6"
"Overseas Trips to Ireland","USA and Canada","2008Q1","Thousand","155.9"
"Overseas Trips to Ireland","USA and Canada","2008Q2","Thousand","312.1"
"Overseas Trips to Ireland","USA and Canada","2008Q3","Thousand","357.2"
"Overseas Trips to Ireland","USA and Canada","2008Q4","Thousand","179.4"
"Overseas Trips to Ireland","USA and Canada","2009Q1","Thousand","142.2"
"Overseas Trips to Ireland","USA and Canada","2009Q2","Thousand","305"
"Overseas Trips to Ireland","USA and Canada","2009Q3","Thousand","356.4"
"Overseas Trips to Ireland","USA and Canada","2009Q4","Thousand","176.8"
"Overseas Trips to Ireland","USA and Canada","2010Q1","Thousand","137.3"
"Overseas Trips to Ireland","USA and Canada","2010Q2","Thousand","264"
"Overseas Trips to Ireland","USA and Canada","2010Q3","Thousand","332.8"
"Overseas Trips to Ireland","USA and Canada","2010Q4","Thousand","201.4"
"Overseas Trips to Ireland","USA and Canada","2011Q1","Thousand","154.7"
"Overseas Trips to Ireland","USA and Canada","2011Q2","Thousand","303.8"
"Overseas Trips to Ireland","USA and Canada","2011Q3","Thousand","352.4"
"Overseas Trips to Ireland","USA and Canada","2011Q4","Thousand","176.2"
"Overseas Trips to Ireland","USA and Canada","2012Q1","Thousand","144.7"
"Overseas Trips to Ireland","USA and Canada","2012Q2","Thousand","305.7"
"Overseas Trips to Ireland","USA and Canada","2012Q3","Thousand","365.2"
"Overseas Trips to Ireland","USA and Canada","2012Q4","Thousand","201.3"
"Overseas Trips to Ireland","USA and Canada","2013Q1","Thousand","168.8"
"Overseas Trips to Ireland","USA and Canada","2013Q2","Thousand","350.8"
"Overseas Trips to Ireland","USA and Canada","2013Q3","Thousand","415"
"Overseas Trips to Ireland","USA and Canada","2013Q4","Thousand","223.5"
"Overseas Trips to Ireland","USA and Canada","2014Q1","Thousand","178.9"
"Overseas Trips to Ireland","USA and Canada","2014Q2","Thousand","395.6"
"Overseas Trips to Ireland","USA and Canada","2014Q3","Thousand","490"
"Overseas Trips to Ireland","USA and Canada","2014Q4","Thousand","264.1"
"Overseas Trips to Ireland","USA and Canada","2015Q1","Thousand","191.2"
"Overseas Trips to Ireland","USA and Canada","2015Q2","Thousand","468.1"
"Overseas Trips to Ireland","USA and Canada","2015Q3","Thousand","550.1"
"Overseas Trips to Ireland","USA and Canada","2015Q4","Thousand","304.8"
"Overseas Trips to Ireland","USA and Canada","2016Q1","Thousand","238.2"
"Overseas Trips to Ireland","USA and Canada","2016Q2","Thousand","520.1"
"Overseas Trips to Ireland","USA and Canada","2016Q3","Thousand","637.5"
"Overseas Trips to Ireland","USA and Canada","2016Q4","Thousand","412.1"
"Overseas Trips to Ireland","USA and Canada","2017Q1","Thousand","293.4"
"Overseas Trips to Ireland","USA and Canada","2017Q2","Thousand","628.9"
"Overseas Trips to Ireland","USA and Canada","2017Q3","Thousand","732.6"
"Overseas Trips to Ireland","USA and Canada","2017Q4","Thousand","446.6"
"Overseas Trips to Ireland","USA and Canada","2018Q1","Thousand","331.6"
"Overseas Trips to Ireland","USA and Canada","2018Q2","Thousand","689.2"
"Overseas Trips to Ireland","USA and Canada","2018Q3","Thousand","847.5"
"Overseas Trips to Ireland","USA and Canada","2018Q4","Thousand","515.5"
"Overseas Trips to Ireland","USA and Canada","2019Q1","Thousand","367.2"
"Overseas Trips to Ireland","USA and Canada","2019Q2","Thousand","746.2"
"Overseas Trips to Ireland","USA and Canada","2019Q3","Thousand","824.6"
"Overseas Trips to Ireland","USA and Canada","2019Q4","Thousand","474.5"
"Overseas Trips to Ireland","Great Britain","2008Q1","Thousand","849.5"
"Overseas Trips to Ireland","Great Britain","2008Q2","Thousand","1023.2"
"Overseas Trips to Ireland","Great Britain","2008Q3","Thousand","1148.9"
"Overseas Trips to Ireland","Great Britain","2008Q4","Thousand","850.9"
"Overseas Trips to Ireland","Great Britain","2009Q1","Thousand","722.4"
"Overseas Trips to Ireland","Great Britain","2009Q2","Thousand","858.5"
"Overseas Trips to Ireland","Great Britain","2009Q3","Thousand","956.1"
"Overseas Trips to Ireland","Great Britain","2009Q4","Thousand","720.1"
"Overseas Trips to Ireland","Great Britain","2010Q1","Thousand","526.6"
"Overseas Trips to Ireland","Great Britain","2010Q2","Thousand","701.7"
"Overseas Trips to Ireland","Great Britain","2010Q3","Thousand","852.6"
"Overseas Trips to Ireland","Great Britain","2010Q4","Thousand","657.6"
"Overseas Trips to Ireland","Great Britain","2011Q1","Thousand","550.7"
"Overseas Trips to Ireland","Great Britain","2011Q2","Thousand","760.7"
"Overseas Trips to Ireland","Great Britain","2011Q3","Thousand","911.6"
"Overseas Trips to Ireland","Great Britain","2011Q4","Thousand","655.2"
"Overseas Trips to Ireland","Great Britain","2012Q1","Thousand","562.4"
"Overseas Trips to Ireland","Great Britain","2012Q2","Thousand","735.2"
"Overseas Trips to Ireland","Great Britain","2012Q3","Thousand","830.2"
"Overseas Trips to Ireland","Great Britain","2012Q4","Thousand","646.4"
"Overseas Trips to Ireland","Great Britain","2013Q1","Thousand","570.2"
"Overseas Trips to Ireland","Great Britain","2013Q2","Thousand","726.9"
"Overseas Trips to Ireland","Great Britain","2013Q3","Thousand","904.7"
"Overseas Trips to Ireland","Great Britain","2013Q4","Thousand","727.1"
"Overseas Trips to Ireland","Great Britain","2014Q1","Thousand","635.5"
"Overseas Trips to Ireland","Great Britain","2014Q2","Thousand","837.7"
"Overseas Trips to Ireland","Great Britain","2014Q3","Thousand","922.6"
"Overseas Trips to Ireland","Great Britain","2014Q4","Thousand","768.1"
"Overseas Trips to Ireland","Great Britain","2015Q1","Thousand","725.8"
"Overseas Trips to Ireland","Great Britain","2015Q2","Thousand","886.2"
"Overseas Trips to Ireland","Great Britain","2015Q3","Thousand","1050.4"
"Overseas Trips to Ireland","Great Britain","2015Q4","Thousand","884.5"
"Overseas Trips to Ireland","Great Britain","2016Q1","Thousand","851.4"
"Overseas Trips to Ireland","Great Britain","2016Q2","Thousand","1013.6"
"Overseas Trips to Ireland","Great Britain","2016Q3","Thousand","1148.5"
"Overseas Trips to Ireland","Great Britain","2016Q4","Thousand","910.6"
"Overseas Trips to Ireland","Great Britain","2017Q1","Thousand","796.1"
"Overseas Trips to Ireland","Great Britain","2017Q2","Thousand","949.2"
"Overseas Trips to Ireland","Great Britain","2017Q3","Thousand","1065.2"
"Overseas Trips to Ireland","Great Britain","2017Q4","Thousand","918.4"
"Overseas Trips to Ireland","Great Britain","2018Q1","Thousand","798.3"
"Overseas Trips to Ireland","Great Britain","2018Q2","Thousand","987.9"
"Overseas Trips to Ireland","Great Britain","2018Q3","Thousand","1055.9"
"Overseas Trips to Ireland","Great Britain","2018Q4","Thousand","917"
"Overseas Trips to Ireland","Great Britain","2019Q1","Thousand","809.1"
"Overseas Trips to Ireland","Great Britain","2019Q2","Thousand","985.2"
"Overseas Trips to Ireland","Great Britain","2019Q3","Thousand","1065"
"Overseas Trips to Ireland","Great Britain","2019Q4","Thousand","928.3"
"Overseas Trips to Ireland","Other Europe (27)","2008Q1","Thousand","480.2"
"Overseas Trips to Ireland","Other Europe (27)","2008Q2","Thousand","729"
"Overseas Trips to Ireland","Other Europe (27)","2008Q3","Thousand","839.9"
"Overseas Trips to Ireland","Other Europe (27)","2008Q4","Thousand","561.2"
"Overseas Trips to Ireland","Other Europe (27)","2009Q1","Thousand","488.7"
"Overseas Trips to Ireland","Other Europe (27)","2009Q2","Thousand","658.2"
"Overseas Trips to Ireland","Other Europe (27)","2009Q3","Thousand","757.6"
"Overseas Trips to Ireland","Other Europe (27)","2009Q4","Thousand","477.8"
"Overseas Trips to Ireland","Other Europe (27)","2010Q1","Thousand","366.5"
"Overseas Trips to Ireland","Other Europe (27)","2010Q2","Thousand","500.5"
"Overseas Trips to Ireland","Other Europe (27)","2010Q3","Thousand","700.9"
"Overseas Trips to Ireland","Other Europe (27)","2010Q4","Thousand","477.3"
"Overseas Trips to Ireland","Other Europe (27)","2011Q1","Thousand","407.8"
"Overseas Trips to Ireland","Other Europe (27)","2011Q2","Thousand","647.5"
"Overseas Trips to Ireland","Other Europe (27)","2011Q3","Thousand","763.2"
"Overseas Trips to Ireland","Other Europe (27)","2011Q4","Thousand","464.7"
"Overseas Trips to Ireland","Other Europe (27)","2012Q1","Thousand","392.8"
"Overseas Trips to Ireland","Other Europe (27)","2012Q2","Thousand","672.4"
